bridge_id,bauwerksart_text,baustoffklasse,laenge,breite,baujahr,traffic_dtv_latest,traffic_dtv_mean,zustandsnote,zustandsnotenklasse,gis_ort,gis_kreis,gis_bundesland,geom_x,geom_y
5215575.C_,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,74.0,9.5,1978,41480.0,21811.290322580644,2.0,2.0  -  2.4,Dillenburg                                        ,Lahn - Dill - Kreis                                                             ,HE,921174.7417000012,6576044.567699999
5215576._1,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,71.21,10.0,1977,41480.0,21811.290322580644,3.0,3.0  -  3.4,Dillenburg                                        ,Lahn - Dill - Kreis                                                             ,HE,921262.6460000016,6575929.152099997
5215576._2,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,71.21,10.0,1977,41480.0,21811.290322580644,2.9,2.5  -  2.9,Dillenburg                                        ,Lahn - Dill - Kreis                                                             ,HE,921262.6460000016,6575929.152099997
5215578.B1,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,70.5,9.88,1983,41480.0,21811.290322580644,2.4,2.0  -  2.4,Niederscheld                                      ,Lahn - Dill - Kreis                                                             ,,924213.6787,6571651.660499997
5215578.B2,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,70.5,10.38,1983,41480.0,21811.290322580644,2.8,2.5  -  2.9,Niederscheld                                      ,Lahn - Dill - Kreis                                                             ,HE,924171.9085000008,6571649.6844
5215579._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.4,31.55,1980,41480.0,21811.290322580644,2.5,2.5  -  2.9,Niederscheld                                      ,Lahn - Dill - Kreis                                                             ,HE,923800.5843999982,6572077.842200004
5215583._2,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,4.5,19.0,1989,41480.0,21811.290322580644,2.5,2.5  -  2.9,Dillenburg                                        ,Lahn - Dill - Kreis                                                             ,HE,922954.6081000008,6574430.941299997
5215616._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,23.44,6.0,1980,41480.0,21811.290322580644,2.0,2.0  -  2.4,Niederscheld                                      ,Lahn - Dill - Kreis                                                             ,HE,924531.3337999992,6570835.6373
5215700._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,9.53,11.5,2011,39718.0,49169.89473684211,1.9,1.5  -  1.9,Haiger                                            ,Lahn - Dill - Kreis                                                             ,HE,914282.5388999992,6576386.0934000015
5215874._0,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,21.0,21.5,2004,41480.0,21811.290322580644,2.5,2.5  -  2.9,Dillenburg                                        ,Lahn - Dill - Kreis                                                             ,HE,921950.689199999,6575557.782899998
5215888._1,Hohlkastenbrücke                                                                ,Stahlverbund,809.92,18.4,2002,10649.0,9873.75,3.0,3.0  -  3.4,Haiger                                            ,Lahn - Dill - Kreis                                                             ,HE,913673.6451999992,6578084.468699999
5215888._2,Hohlkastenbrücke                                                                ,Stahlverbund,793.89,14.75,2001,10649.0,9873.75,2.9,2.5  -  2.9,Haiger                                            ,Lahn - Dill - Kreis                                                             ,HE,913673.6451999992,6578084.468699999
5215927._1,Hohlkastenbrücke                                                                ,Stahlverbund,388.4,18.23,2017,41480.0,21811.290322580644,2.4,2.0  -  2.4,Dillenburg                                        ,Lahn - Dill - Kreis                                                             ,HE,921062.0654999986,6574453.667999998
5215927._2,Hohlkastenbrücke                                                                ,Stahlverbund,388.4,18.05,2018,41480.0,21811.290322580644,2.3,2.0  -  2.4,Dillenburg                                        ,Lahn - Dill - Kreis                                                             ,HE,921062.0654999986,6574453.667999998
5215928._1,Hohlkastenbrücke                                                                ,Stahl/Leichtmetall,270.0,18.0,2016,41480.0,21811.290322580644,2.3,2.0  -  2.4,Niederscheld                                      ,Lahn - Dill - Kreis                                                             ,HE,922611.5406999998,6571715.422700003
5215928._2,Hohlkastenbrücke                                                                ,Stahl/Leichtmetall,270.0,18.0,2018,41480.0,21811.290322580644,2.5,2.5  -  2.9,Niederscheld                                      ,Lahn - Dill - Kreis                                                             ,HE,922611.5406999998,6571715.422700003
5216549._0,"Rohr als Brücke, ohne Ummantelung                                               ",Beton/Stahlbeton,2.74,11.83,1986,,,1.8,1.5  -  1.9,Bischoffen                                        ,Lahn - Dill - Kreis                                                             ,HE,940190.7144999988,6568943.800399996
5216550._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,8.25,17.5,1986,,,2.1,2.0  -  2.4,Bischoffen                                        ,Lahn - Dill - Kreis                                                             ,HE,940341.6788999996,6568947.303000003
5216551._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,4.0,28.5,1986,,,2.5,2.5  -  2.9,Bischoffen                                        ,Lahn - Dill - Kreis                                                             ,HE,952947.939199999,6577332.373099998
5217512._0,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,6.3,10.12,2023,,,1.0,1.0  -  1.4,Runzhausen                                        ,Landkreis Marburg - Biedenkopf                                                  ,HE,953606.9481999986,6584615.504500002
5217523._1,Gewölbe- bzw. Bogenbrücke                                                       ,Stein,4.18,10.53,1962,,,1.7,1.5  -  1.9,Weidenhausen                                      ,Landkreis Marburg - Biedenkopf                                                  ,HE,949639.6915999986,6576997.9278
5217523._2,Gewölbe- bzw. Bogenbrücke                                                       ,Beton/Stahlbeton,5.4,14.7,1976,,,1.7,1.5  -  1.9,Weidenhausen                                      ,Landkreis Marburg - Biedenkopf                                                  ,HE,949639.6915999986,6576997.9278
5217575._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,7.7,13.6,1976,,,2.7,2.5  -  2.9,Oberweidbach                                      ,Lahn - Dill - Kreis                                                             ,HE,947669.906800002,6572966.559699997
5217624._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,12.81,12.0,1998,,,2.0,2.0  -  2.4,Gladenbach/Erdhausen                              ,Landkreis Marburg - Biedenkopf                                                  ,HE,953236.3990000002,6577436.1428999975
